# d_f:2.5
# l:100
# g:100
# N_e:0
# l_k:1
# ideal_br:False
# 
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 1.63675e-06 3.23003e-06 1.27752e-47 1.59380e-06 6.46057e-06
8.96151e+03 1.86718e-06 3.68145e-06 4.22021e-43 1.81494e-06 7.36358e-06
8.03086e+03 2.13010e-06 4.19582e-06 4.73340e-39 2.06660e-06 8.39252e-06
7.19686e+03 2.43009e-06 4.78189e-06 2.01662e-35 2.35295e-06 9.56493e-06
6.44947e+03 2.77238e-06 5.44964e-06 3.60877e-32 2.67876e-06 1.09008e-05
5.77969e+03 3.16297e-06 6.21028e-06 2.96839e-29 3.04930e-06 1.24226e-05
5.17947e+03 3.60869e-06 7.07702e-06 1.21670e-26 3.47090e-06 1.41566e-05
4.64159e+03 4.11735e-06 8.06471e-06 2.67164e-24 3.95071e-06 1.61328e-05
4.15956e+03 4.69788e-06 9.19011e-06 3.35333e-22 4.49658e-06 1.83846e-05
3.72759e+03 5.36048e-06 1.04725e-05 2.54991e-20 5.11766e-06 2.09506e-05
3.34048e+03 6.11683e-06 1.19338e-05 1.23752e-18 5.82417e-06 2.38748e-05
2.99358e+03 6.98027e-06 1.35993e-05 4.01636e-17 6.62825e-06 2.72078e-05
2.68270e+03 7.96609e-06 1.54964e-05 9.08966e-16 7.54299e-06 3.10054e-05
2.40410e+03 9.09178e-06 1.76605e-05 1.48932e-14 8.58514e-06 3.53374e-05
2.15443e+03 1.03774e-05 2.01281e-05 1.82708e-13 9.77182e-06 4.02774e-05
1.93070e+03 1.18460e-05 2.29427e-05 1.72961e-12 1.11242e-05 4.59129e-05
1.73020e+03 1.35239e-05 2.61541e-05 1.29806e-11 1.26660e-05 5.23440e-05
1.55052e+03 1.54416e-05 2.98198e-05 7.91263e-11 1.44251e-05 5.96866e-05
1.38950e+03 1.76341e-05 3.40064e-05 4.00370e-10 1.64339e-05 6.80748e-05
1.24520e+03 2.01418e-05 3.87909e-05 1.71466e-09 1.87299e-05 7.76643e-05
1.11588e+03 2.30115e-05 4.42627e-05 6.32493e-09 2.13564e-05 8.86368e-05
1.00000e+03 2.62972e-05 5.05254e-05 2.04129e-08 2.43617e-05 1.01205e-04
8.96151e+02 3.00609e-05 5.76986e-05 5.84562e-08 2.77973e-05 1.15615e-04
8.03086e+02 3.43736e-05 6.59178e-05 1.50423e-07 3.17132e-05 1.32155e-04
7.19686e+02 3.93127e-05 7.53341e-05 3.51784e-07 3.61504e-05 1.51149e-04
6.44947e+02 4.49617e-05 8.61100e-05 7.55319e-07 4.11312e-05 1.72958e-04
5.77969e+02 5.14050e-05 9.84128e-05 1.50260e-06 4.66486e-05 1.97969e-04
5.17947e+02 5.87227e-05 1.12405e-04 2.79244e-06 5.26562e-05 2.26576e-04
4.64159e+02 6.69838e-05 1.28234e-04 4.88369e-06 5.90627e-05 2.59164e-04
4.15956e+02 7.62402e-05 1.46017e-04 8.09132e-06 6.57287e-05 2.96077e-04
3.72759e+02 8.65227e-05 1.65835e-04 1.27757e-05 7.24838e-05 3.37617e-04
3.34048e+02 9.78413e-05 1.87718e-04 1.93275e-05 7.91226e-05 3.84010e-04
2.99358e+02 1.10190e-04 2.11645e-04 2.81506e-05 8.54298e-05 4.35415e-04
2.68270e+02 1.23558e-04 2.37569e-04 3.96466e-05 9.11954e-05 4.91970e-04
2.40410e+02 1.37947e-04 2.65301e-04 5.42548e-05 9.62309e-05 5.53734e-04
2.15443e+02 1.53387e-04 2.94682e-04 7.22560e-05 1.00382e-04 6.20706e-04
1.93070e+02 1.69962e-04 3.25481e-04 9.40340e-05 1.03539e-04 6.93015e-04
1.73020e+02 1.87831e-04 3.57438e-04 1.19933e-04 1.05639e-04 7.70840e-04
1.55052e+02 2.07245e-04 3.90268e-04 1.50295e-04 1.06667e-04 8.54475e-04
1.38950e+02 2.28562e-04 4.23674e-04 1.85480e-04 1.06652e-04 9.44368e-04
1.24520e+02 2.52262e-04 4.57359e-04 2.25882e-04 1.05659e-04 1.04116e-03
1.11588e+02 2.78953e-04 4.91041e-04 2.71950e-04 1.03781e-04 1.14573e-03
1.00000e+02 3.09375e-04 5.24456e-04 3.24211e-04 1.01133e-04 1.25918e-03
8.96151e+01 3.44407e-04 5.57378e-04 3.83286e-04 9.78430e-05 1.38291e-03
8.03086e+01 3.85067e-04 5.90101e-04 4.49911e-04 9.40287e-05 1.51911e-03
7.19686e+01 4.32519e-04 6.21759e-04 5.24951e-04 8.98181e-05 1.66905e-03
6.44947e+01 4.88081e-04 6.52321e-04 6.09697e-04 8.53278e-05 1.83543e-03
5.77969e+01 5.53233e-04 6.81670e-04 7.04819e-04 8.06622e-05 2.02038e-03
5.17947e+01 6.29634e-04 7.09936e-04 8.11976e-04 7.59172e-05 2.22746e-03
4.64159e+01 7.19140e-04 7.37115e-04 9.32814e-04 7.11703e-05 2.46024e-03
4.15956e+01 8.23829e-04 7.61533e-04 1.06933e-03 6.64874e-05 2.72118e-03
3.72759e+01 9.46035e-04 7.88400e-04 1.22341e-03 6.19205e-05 3.01977e-03
3.34048e+01 1.08838e-03 8.12543e-04 1.39776e-03 5.75086e-05 3.35618e-03
2.99358e+01 1.25381e-03 8.35819e-04 1.59505e-03 5.32796e-05 3.73796e-03
2.68270e+01 1.44566e-03 8.58409e-04 1.81863e-03 4.92544e-05 4.17195e-03
2.40410e+01 1.66772e-03 8.80236e-04 2.07227e-03 4.54477e-05 4.66567e-03
2.15443e+01 1.92425e-03 9.01489e-04 2.36013e-03 4.18712e-05 5.22774e-03
1.93070e+01 2.22011e-03 9.22278e-04 2.68710e-03 3.85305e-05 5.86802e-03
1.73020e+01 2.56083e-03 9.42711e-04 3.05876e-03 3.54249e-05 6.59773e-03
1.55052e+01 2.95270e-03 9.62852e-04 3.48130e-03 3.25453e-05 7.42939e-03
1.38950e+01 3.40286e-03 9.82830e-04 3.96214e-03 2.98758e-05 8.37771e-03
1.24520e+01 3.91948e-03 1.00273e-03 4.51261e-03 2.73969e-05 9.46221e-03
1.11588e+01 4.51185e-03 1.02263e-03 5.13164e-03 2.50905e-05 1.06912e-02
1.00000e+01 5.19057e-03 1.04263e-03 5.84063e-03 2.29441e-05 1.20968e-02
