# d_f:2
# l:300
# g:100
# N_e:0
# l_k:1
# ideal_br:False
# 
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 9.14106e-08 5.39348e-07 1.21029e-19 7.95739e-07 1.42650e-06
8.96151e+03 1.07990e-07 6.35779e-07 3.93046e-18 9.36029e-07 1.67980e-06
8.03086e+03 1.27615e-07 7.49433e-07 8.90329e-17 1.10070e-06 1.97775e-06
7.19686e+03 1.50857e-07 8.83373e-07 1.46041e-15 1.29384e-06 2.32807e-06
6.44947e+03 1.78403e-07 1.04120e-06 1.79390e-14 1.52021e-06 2.73981e-06
5.77969e+03 2.11078e-07 1.22715e-06 1.70054e-13 1.78523e-06 3.22346e-06
5.17947e+03 2.49875e-07 1.44619e-06 1.27808e-12 2.09512e-06 3.79118e-06
4.64159e+03 2.96000e-07 1.70414e-06 7.80212e-12 2.45697e-06 4.45711e-06
4.15956e+03 3.50922e-07 2.00781e-06 3.95344e-11 2.87873e-06 5.23751e-06
3.72759e+03 4.16453e-07 2.36519e-06 1.69546e-10 3.36927e-06 6.15109e-06
3.34048e+03 4.94842e-07 2.78558e-06 6.26224e-10 3.93822e-06 7.21927e-06
2.99358e+03 5.88902e-07 3.27976e-06 2.02347e-09 4.59572e-06 8.46641e-06
2.68270e+03 7.02409e-07 3.86021e-06 5.80076e-09 5.35188e-06 9.92029e-06
2.40410e+03 8.39612e-07 4.54107e-06 1.49407e-08 6.21585e-06 1.16115e-05
2.15443e+03 1.00626e-06 5.33816e-06 3.49676e-08 7.19456e-06 1.35739e-05
1.93070e+03 1.20879e-06 6.26960e-06 7.51251e-08 8.29122e-06 1.58447e-05
1.73020e+03 1.45592e-06 7.35158e-06 1.49519e-07 9.50370e-06 1.84607e-05
1.55052e+03 1.75430e-06 8.60225e-06 2.77946e-07 1.08233e-05 2.14578e-05
1.38950e+03 2.11270e-06 1.00377e-05 4.86172e-07 1.22344e-05 2.48709e-05
1.24520e+03 2.53859e-06 1.16712e-05 8.05508e-07 1.37139e-05 2.87292e-05
1.11588e+03 3.03799e-06 1.35124e-05 1.27175e-06 1.52334e-05 3.30555e-05
1.00000e+03 3.61474e-06 1.55661e-05 1.92367e-06 1.67602e-05 3.78647e-05
8.96151e+02 4.27001e-06 1.78317e-05 2.80137e-06 1.82598e-05 4.31628e-05
8.03086e+02 5.00206e-06 2.03048e-05 3.94489e-06 1.96983e-05 4.89500e-05
7.19686e+02 5.80624e-06 2.29758e-05 5.39322e-06 2.10445e-05 5.52197e-05
6.44947e+02 6.67537e-06 2.58322e-05 7.18410e-06 2.22716e-05 6.19633e-05
5.77969e+02 7.60029e-06 2.88601e-05 9.35448e-06 2.33583e-05 6.91731e-05
5.17947e+02 8.57079e-06 3.20454e-05 1.19417e-05 2.42889e-05 7.68468e-05
4.64159e+02 9.57656e-06 3.53756e-05 1.49855e-05 2.50537e-05 8.49913e-05
4.15956e+02 1.06086e-05 3.88407e-05 1.85298e-05 2.56483e-05 9.36274e-05
3.72759e+02 1.16604e-05 4.24342e-05 2.26262e-05 2.60705e-05 1.02791e-04
3.34048e+02 1.27299e-05 4.61532e-05 2.73360e-05 2.63316e-05 1.12551e-04
2.99358e+02 1.38207e-05 4.99984e-05 3.27342e-05 2.64320e-05 1.22985e-04
2.68270e+02 1.49441e-05 5.39896e-05 3.89124e-05 2.63841e-05 1.34230e-04
2.40410e+02 1.61209e-05 5.81019e-05 4.59823e-05 2.61990e-05 1.46404e-04
2.15443e+02 1.73827e-05 6.23594e-05 5.40796e-05 2.58893e-05 1.59711e-04
1.93070e+02 1.87741e-05 6.67712e-05 6.34525e-05 2.54687e-05 1.74466e-04
1.73020e+02 2.03538e-05 7.13473e-05 7.41313e-05 2.49510e-05 1.90783e-04
1.55052e+02 2.21970e-05 7.60967e-05 8.64358e-05 2.43502e-05 2.09080e-04
1.38950e+02 2.43968e-05 8.10344e-05 1.00651e-04 2.36805e-05 2.29763e-04
1.24520e+02 2.70663e-05 8.61669e-05 1.17113e-04 2.29549e-05 2.53301e-04
1.11588e+02 3.03412e-05 9.15060e-05 1.36218e-04 2.21857e-05 2.80251e-04
1.00000e+02 3.43831e-05 9.70620e-05 1.58164e-04 2.13839e-05 3.10993e-04
8.96151e+01 3.93823e-05 1.02845e-04 1.84110e-04 2.05593e-05 3.46897e-04
8.03086e+01 4.55628e-05 1.08866e-04 2.14395e-04 1.97213e-05 3.88545e-04
7.19686e+01 5.31877e-05 1.15140e-04 2.49956e-04 1.88787e-05 4.37161e-04
6.44947e+01 6.25651e-05 1.21683e-04 2.91124e-04 1.80407e-05 4.93414e-04
5.77969e+01 7.40566e-05 1.28534e-04 3.39543e-04 1.72155e-05 5.59349e-04
5.17947e+01 8.80862e-05 1.35673e-04 3.96370e-04 1.64094e-05 6.36539e-04
4.64159e+01 1.05151e-04 1.43132e-04 4.63121e-04 1.56253e-05 7.27029e-04
4.15956e+01 1.25837e-04 1.50934e-04 5.41448e-04 1.48630e-05 8.33081e-04
3.72759e+01 1.50830e-04 1.59738e-04 6.34281e-04 1.41200e-05 9.58969e-04
3.34048e+01 1.80940e-04 1.67667e-04 7.41415e-04 1.33935e-05 1.10342e-03
2.99358e+01 2.17117e-04 1.77123e-04 8.68287e-04 1.26829e-05 1.27521e-03
2.68270e+01 2.60483e-04 1.86660e-04 1.01753e-03 1.19917e-05 1.47667e-03
2.40410e+01 3.12359e-04 1.96623e-04 1.19324e-03 1.13326e-05 1.71356e-03
2.15443e+01 3.74300e-04 2.07000e-04 1.39987e-03 1.07000e-05 1.99187e-03
1.93070e+01 4.48142e-04 2.17922e-04 1.64368e-03 1.01187e-05 2.31986e-03
1.73020e+01 5.36047e-04 2.29421e-04 1.92946e-03 9.58958e-06 2.70452e-03
1.55052e+01 6.40566e-04 2.41617e-04 2.26820e-03 9.11305e-06 3.15950e-03
1.38950e+01 7.64707e-04 2.54388e-04 2.66596e-03 8.68319e-06 3.69374e-03
1.24520e+01 9.12015e-04 2.67988e-04 3.13527e-03 8.28858e-06 4.32356e-03
1.11588e+01 1.08667e-03 2.81934e-04 3.68635e-03 7.91414e-06 5.06287e-03
1.00000e+01 1.29361e-03 2.96939e-04 4.33613e-03 7.54371e-06 5.93422e-03
