# d_f:2.7
# l:100
# g:100
# phi:0.3
# l_k:8
# ideal_br:True
# N_e:8
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 6.86569e-08 1.31880e-07 1.58964e-49 6.33962e-08 2.63933e-07
8.96151e+03 7.75580e-08 1.48539e-07 5.32779e-45 7.12047e-08 2.97301e-07
8.03086e+03 8.76138e-08 1.67270e-07 6.05781e-41 7.99461e-08 3.34830e-07
7.19686e+03 9.89745e-08 1.88327e-07 2.61435e-37 8.97265e-08 3.77028e-07
6.44947e+03 1.11809e-07 2.11991e-07 4.73573e-34 1.00664e-07 4.24464e-07
5.77969e+03 1.26311e-07 2.38568e-07 3.94041e-31 1.12884e-07 4.77762e-07
5.17947e+03 1.42694e-07 2.68430e-07 1.63275e-28 1.26539e-07 5.37664e-07
4.64159e+03 1.61206e-07 3.01961e-07 3.62214e-26 1.41784e-07 6.04951e-07
4.15956e+03 1.82122e-07 3.39604e-07 4.59054e-24 1.58796e-07 6.80522e-07
3.72759e+03 2.05757e-07 3.81839e-07 3.52266e-22 1.77765e-07 7.65360e-07
3.34048e+03 2.32465e-07 4.29218e-07 1.72434e-20 1.98896e-07 8.60579e-07
2.99358e+03 2.62646e-07 4.82353e-07 5.64168e-19 2.22445e-07 9.67444e-07
2.68270e+03 2.96755e-07 5.41925e-07 1.28651e-17 2.48660e-07 1.08734e-06
2.40410e+03 3.35306e-07 6.08695e-07 2.12291e-16 2.77829e-07 1.22183e-06
2.15443e+03 3.78881e-07 6.83513e-07 2.62168e-15 3.10269e-07 1.37266e-06
1.93070e+03 4.28140e-07 7.67328e-07 2.49719e-14 3.46332e-07 1.54180e-06
1.73020e+03 4.83830e-07 8.61204e-07 1.88490e-13 3.86410e-07 1.73144e-06
1.55052e+03 5.46801e-07 9.66333e-07 1.15509e-12 4.30938e-07 1.94407e-06
1.38950e+03 6.18018e-07 1.08405e-06 5.87320e-12 4.80402e-07 2.18248e-06
1.24520e+03 6.98580e-07 1.21587e-06 2.52656e-11 5.35346e-07 2.44982e-06
1.11588e+03 7.89737e-07 1.36350e-06 9.35776e-11 5.96379e-07 2.74971e-06
1.00000e+03 8.92917e-07 1.52890e-06 3.03118e-10 6.64159e-07 3.08628e-06
8.96151e+02 1.00974e-06 1.71430e-06 8.70889e-10 7.39365e-07 3.46428e-06
8.03086e+02 1.14204e-06 1.92226e-06 2.24754e-09 8.22629e-07 3.88918e-06
7.19686e+02 1.29200e-06 2.15568e-06 5.26954e-09 9.14427e-07 4.36737e-06
6.44947e+02 1.46161e-06 2.41778e-06 1.13391e-08 1.01493e-06 4.90566e-06
5.77969e+02 1.65331e-06 2.71201e-06 2.25997e-08 1.12386e-06 5.51178e-06
5.17947e+02 1.86916e-06 3.04195e-06 4.20646e-08 1.24032e-06 6.19349e-06
4.64159e+02 2.11118e-06 3.41104e-06 7.36603e-08 1.36270e-06 6.95858e-06
4.15956e+02 2.38194e-06 3.82237e-06 1.22165e-07 1.48871e-06 7.81519e-06
3.72759e+02 2.68091e-06 4.27843e-06 1.93048e-07 1.61544e-06 8.76783e-06
3.34048e+02 3.00930e-06 4.78082e-06 2.92238e-07 1.73951e-06 9.82186e-06
2.99358e+02 3.36724e-06 5.33010e-06 4.25874e-07 1.85723e-06 1.09804e-05
2.68270e+02 3.75476e-06 5.92566e-06 6.00085e-07 1.96535e-06 1.22459e-05
2.40410e+02 4.17221e-06 6.56571e-06 8.20847e-07 2.06058e-06 1.36193e-05
2.15443e+02 4.62075e-06 7.24725e-06 1.09394e-06 2.14027e-06 1.51022e-05
1.93070e+02 5.10292e-06 7.96625e-06 1.42502e-06 2.20247e-06 1.66967e-05
1.73020e+02 5.62321e-06 8.71783e-06 1.81980e-06 2.24601e-06 1.84069e-05
1.55052e+02 6.18845e-06 9.49647e-06 2.28435e-06 2.27049e-06 2.02398e-05
1.38950e+02 6.80822e-06 1.02963e-05 2.82540e-06 2.27625e-06 2.22062e-05
1.24520e+02 7.49505e-06 1.11115e-05 3.45079e-06 2.26424e-06 2.43215e-05
1.11588e+02 8.26454e-06 1.19362e-05 4.16989e-06 2.23594e-06 2.66065e-05
1.00000e+02 9.13542e-06 1.27675e-05 4.99413e-06 2.19322e-06 2.90903e-05
8.96151e+01 1.01295e-05 1.35965e-05 5.93748e-06 2.13823e-06 3.18018e-05
8.03086e+01 1.12719e-05 1.44215e-05 7.01698e-06 2.07290e-06 3.47833e-05
7.19686e+01 1.25905e-05 1.52398e-05 8.26578e-06 1.99947e-06 3.80956e-05
6.44947e+01 1.41171e-05 1.60498e-05 9.68427e-06 1.92001e-06 4.17712e-05
5.77969e+01 1.58867e-05 1.68509e-05 1.13148e-05 1.83634e-06 4.58886e-05
5.17947e+01 1.79388e-05 1.76436e-05 1.31933e-05 1.75032e-06 5.05260e-05
4.64159e+01 2.03182e-05 1.84297e-05 1.53634e-05 1.66329e-06 5.57745e-05
4.15956e+01 2.30759e-05 1.92116e-05 1.78761e-05 1.57654e-06 6.17402e-05
3.72759e+01 2.62713e-05 1.99929e-05 2.07925e-05 1.49107e-06 6.85478e-05
3.34048e+01 2.99736e-05 2.07774e-05 2.41421e-05 1.40765e-06 7.63007e-05
2.99358e+01 3.42645e-05 2.15697e-05 2.81023e-05 1.32686e-06 8.52634e-05
2.68270e+01 3.92409e-05 2.23748e-05 3.27247e-05 1.24912e-06 9.55894e-05
2.40410e+01 4.50179e-05 2.31983e-05 3.81610e-05 1.17479e-06 1.07552e-04
2.15443e+01 5.17321e-05 2.40500e-05 4.44356e-05 1.10414e-06 1.21322e-04
1.93070e+01 5.95458e-05 2.49301e-05 5.18251e-05 1.03740e-06 1.37338e-04
1.73020e+01 6.86512e-05 2.58466e-05 6.04977e-05 9.74635e-07 1.55970e-04
1.55052e+01 7.92758e-05 2.68053e-05 7.07058e-05 9.15706e-07 1.77703e-04
1.38950e+01 9.16884e-05 2.79191e-05 8.26519e-05 8.60310e-07 2.03120e-04
1.24520e+01 1.06206e-04 2.89967e-05 9.68061e-05 8.08025e-07 2.32817e-04
1.11588e+01 1.23203e-04 3.00690e-05 1.13151e-04 7.58449e-07 2.67182e-04
