# d_f:2.7
# l:50
# g:17
# phi:0.3
# l_k:3.5
# ideal_br:True
# N_e:608
# genomic distance $s$; contact probability $P(s)$
1.00000e+04 2.42348e-08 1.41914e-07 6.35989e-92 2.07212e-07 3.73361e-07
8.96151e+03 2.74655e-08 1.60398e-07 7.08284e-83 2.33897e-07 4.21760e-07
8.03086e+03 3.11642e-08 1.81696e-07 9.07189e-75 2.64710e-07 4.77569e-07
7.19686e+03 3.54111e-08 2.06234e-07 1.67319e-67 3.00240e-07 5.41885e-07
6.44947e+03 4.03015e-08 2.34528e-07 5.43514e-61 3.41212e-07 6.16042e-07
5.77969e+03 4.59486e-08 2.67205e-07 3.72438e-55 3.88510e-07 7.01664e-07
5.17947e+03 5.24865e-08 3.05019e-07 6.32824e-50 4.43203e-07 8.00709e-07
4.64159e+03 6.00741e-08 3.48868e-07 3.08182e-45 5.06572e-07 9.15514e-07
4.15956e+03 6.88991e-08 3.99817e-07 4.89774e-41 5.80128e-07 1.04884e-06
3.72759e+03 7.91834e-08 4.59123e-07 2.85339e-37 6.65656e-07 1.20396e-06
3.34048e+03 9.11890e-08 5.28267e-07 6.76342e-34 7.65249e-07 1.38470e-06
2.99358e+03 1.05226e-07 6.08719e-07 7.16103e-31 8.81174e-07 1.59512e-06
2.68270e+03 1.21604e-07 7.03068e-07 3.68246e-28 1.01653e-06 1.84121e-06
2.40410e+03 1.40927e-07 8.13638e-07 9.91352e-26 1.17499e-06 2.12956e-06
2.15443e+03 1.63540e-07 9.43024e-07 1.49431e-23 1.36007e-06 2.46664e-06
1.93070e+03 1.90107e-07 1.09462e-06 1.33948e-21 1.57642e-06 2.86115e-06
1.73020e+03 2.21354e-07 1.27238e-06 7.53648e-20 1.82941e-06 3.32314e-06
1.55052e+03 2.58140e-07 1.48097e-06 2.79350e-18 2.12541e-06 3.86452e-06
1.38950e+03 3.01490e-07 1.72586e-06 7.12383e-17 2.47170e-06 4.49905e-06
1.24520e+03 3.52627e-07 2.01349e-06 1.29941e-15 2.87676e-06 5.24288e-06
1.11588e+03 4.13013e-07 2.35142e-06 1.75542e-14 3.35042e-06 6.11486e-06
1.00000e+03 4.84402e-07 2.74856e-06 1.81209e-13 3.90404e-06 7.13700e-06
8.96151e+02 5.68905e-07 3.21536e-06 1.46997e-12 4.55057e-06 8.33484e-06
8.03086e+02 6.69073e-07 3.76409e-06 9.60877e-12 5.30491e-06 9.73808e-06
7.19686e+02 7.88011e-07 4.40916e-06 5.17646e-11 6.18388e-06 1.13811e-05
6.44947e+02 9.29531e-07 5.16742e-06 2.34515e-10 7.20637e-06 1.33035e-05
5.77969e+02 1.09835e-06 6.05858e-06 9.09797e-10 8.39312e-06 1.55510e-05
5.17947e+02 1.30035e-06 7.10563e-06 3.07189e-09 9.76640e-06 1.81754e-05
4.64159e+02 1.54335e-06 8.33517e-06 9.15973e-09 1.13489e-05 2.12366e-05
4.15956e+02 1.83637e-06 9.77770e-06 2.44374e-08 1.31622e-05 2.48007e-05
3.72759e+02 2.19123e-06 1.14675e-05 5.90227e-08 1.52240e-05 2.89418e-05
3.34048e+02 2.62314e-06 1.34424e-05 1.30423e-07 1.75449e-05 3.37409e-05
2.99358e+02 3.14721e-06 1.57448e-05 2.66180e-07 2.01253e-05 3.92835e-05
2.68270e+02 3.78208e-06 1.84103e-05 5.06032e-07 2.29515e-05 4.56499e-05
2.40410e+02 4.54634e-06 2.14786e-05 9.02997e-07 2.59943e-05 5.29223e-05
2.15443e+02 5.45758e-06 2.49824e-05 1.52298e-06 2.92089e-05 6.11719e-05
1.93070e+02 6.53063e-06 2.89469e-05 2.44286e-06 3.25360e-05 7.04563e-05
1.73020e+02 7.77596e-06 3.33870e-05 3.74735e-06 3.59058e-05 8.08161e-05
1.55052e+02 9.19835e-06 3.83129e-05 5.52543e-06 3.92430e-05 9.22796e-05
1.38950e+02 1.07961e-05 4.37063e-05 7.91270e-06 4.24712e-05 1.04886e-04
1.24520e+02 1.25609e-05 4.95545e-05 1.09170e-05 4.55187e-05 1.18551e-04
1.11588e+02 1.44784e-05 5.58318e-05 1.46593e-05 4.83222e-05 1.33292e-04
1.00000e+02 1.65293e-05 6.25078e-05 1.92212e-05 5.08297e-05 1.49088e-04
8.96151e+01 1.86912e-05 6.95506e-05 2.46860e-05 5.30018e-05 1.65930e-04
8.03086e+01 2.09411e-05 7.69309e-05 3.11390e-05 5.48125e-05 1.83824e-04
7.19686e+01 2.32577e-05 8.46237e-05 3.86746e-05 5.62475e-05 2.02803e-04
6.44947e+01 2.56248e-05 9.26112e-05 4.74008e-05 5.72988e-05 2.22936e-04
5.77969e+01 2.80350e-05 1.00883e-04 5.74462e-05 5.79834e-05 2.44348e-04
5.17947e+01 3.04930e-05 1.10229e-04 6.89668e-05 5.83149e-05 2.68003e-04
4.64159e+01 3.30200e-05 1.19705e-04 8.21534e-05 5.83040e-05 2.93182e-04
4.15956e+01 3.56570e-05 1.29344e-04 9.76742e-05 5.79801e-05 3.20655e-04
3.72759e+01 3.84691e-05 1.39182e-04 1.15275e-04 5.73702e-05 3.50296e-04
3.34048e+01 4.15490e-05 1.49812e-04 1.35317e-04 5.65046e-05 3.83183e-04
2.99358e+01 4.50209e-05 1.60008e-04 1.58237e-04 5.54148e-05 4.18681e-04
2.68270e+01 4.90443e-05 1.70556e-04 1.84418e-04 5.41250e-05 4.58143e-04
2.40410e+01 5.38180e-05 1.81488e-04 2.14639e-04 5.26835e-05 5.02628e-04
2.15443e+01 5.95846e-05 1.92822e-04 2.49990e-04 5.11055e-05 5.53503e-04
1.93070e+01 6.66360e-05 2.04585e-04 2.90514e-04 4.94238e-05 6.11159e-04
1.73020e+01 7.53194e-05 2.16802e-04 3.37606e-04 4.76639e-05 6.77391e-04
1.55052e+01 8.60453e-05 2.29500e-04 3.92438e-04 4.58483e-05 7.53832e-04
1.38950e+01 9.92967e-05 2.42710e-04 4.56394e-04 4.39979e-05 8.42399e-04
1.24520e+01 1.15641e-04 2.56473e-04 5.31266e-04 4.22155e-05 9.45595e-04
1.11588e+01 1.35742e-04 2.70793e-04 6.18547e-04 4.02723e-05 1.06535e-03
1.00000e+01 1.60380e-04 2.85737e-04 7.20935e-04 3.84363e-05 1.20549e-03
